island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,species
Dream,37.3,17.8,191.0,3350.0,female,2008,Adelie
Biscoe,47.2,13.7,214.0,4925.0,female,2009,Gentoo
Torgersen,38.6,17.0,188.0,2900.0,female,2009,Adelie
Biscoe,50.8,17.3,228.0,5600.0,male,2009,Gentoo
Biscoe,43.2,19.0,197.0,4775.0,male,2009,Adelie
Biscoe,38.2,20.0,190.0,3900.0,male,2009,Adelie
Biscoe,38.1,17.0,181.0,3175.0,female,2009,Adelie
Biscoe,52.5,15.6,221.0,5450.0,male,2009,Gentoo
Torgersen,42.1,19.1,195.0,4000.0,male,2008,Adelie
Biscoe,50.5,15.9,222.0,5550.0,male,2008,Gentoo
Biscoe,46.2,14.4,214.0,4650.0,,2008,Gentoo
Biscoe,43.5,14.2,220.0,4700.0,female,2008,Gentoo
Dream,51.0,18.8,203.0,4100.0,male,2008,Chinstrap
Torgersen,36.7,18.8,187.0,3800.0,female,2008,Adelie
Dream,43.5,18.1,202.0,3400.0,female,2009,Chinstrap
Dream,52.0,18.1,201.0,4050.0,male,2007,Chinstrap
Dream,36.0,17.1,187.0,3700.0,female,2009,Adelie
Dream,39.6,18.8,190.0,4600.0,male,2007,Adelie
Biscoe,38.6,17.2,199.0,3750.0,female,2009,Adelie
Biscoe,51.3,14.2,218.0,5300.0,male,2009,Gentoo
Biscoe,40.5,18.9,180.0,3950.0,male,2007,Adelie
Biscoe,42.8,14.2,209.0,4700.0,female,2007,Gentoo
Dream,38.1,17.6,187.0,3425.0,female,2009,Adelie
Dream,39.5,17.8,188.0,3300.0,female,2007,Adelie
Biscoe,49.2,15.2,221.0,6300.0,male,2007,Gentoo
Dream,36.0,17.8,195.0,3450.0,female,2009,Adelie
Biscoe,37.9,18.6,193.0,2925.0,female,2009,Adelie
Dream,34.0,17.1,185.0,3400.0,female,2008,Adelie
Biscoe,35.7,16.9,185.0,3150.0,female,2008,Adelie
Biscoe,39.6,17.7,186.0,3500.0,female,2008,Adelie
Dream,36.6,18.4,184.0,3475.0,female,2009,Adelie
Torgersen,41.1,18.6,189.0,3325.0,male,2009,Adelie
Biscoe,37.8,20.0,190.0,4250.0,male,2009,Adelie
Dream,46.1,18.2,178.0,3250.0,female,2007,Chinstrap
Dream,46.8,16.5,189.0,3650.0,female,2009,Chinstrap
Biscoe,47.3,13.8,216.0,4725.0,,2009,Gentoo
Dream,50.0,19.5,196.0,3900.0,male,2007,Chinstrap
Biscoe,50.0,15.3,220.0,5550.0,male,2007,Gentoo
Dream,50.8,18.5,201.0,4450.0,male,2009,Chinstrap
Biscoe,46.8,15.4,215.0,5150.0,male,2007,Gentoo
Torgersen,38.8,17.6,191.0,3275.0,female,2009,Adelie
Biscoe,47.2,15.5,215.0,4975.0,female,2009,Gentoo
Torgersen,40.9,16.8,191.0,3700.0,female,2008,Adelie
Biscoe,46.5,14.8,217.0,5200.0,female,2008,Gentoo
Biscoe,48.5,14.1,220.0,5300.0,male,2008,Gentoo
Dream,50.5,18.4,200.0,3400.0,female,2008,Chinstrap
Biscoe,45.1,14.5,215.0,5000.0,female,2007,Gentoo
Dream,49.6,18.2,193.0,3775.0,male,2009,Chinstrap
Torgersen,,,,,,2007,Adelie
Biscoe,49.8,16.8,230.0,5700.0,male,2008,Gentoo
Torgersen,34.1,18.1,193.0,3475.0,,2007,Adelie
Torgersen,41.8,19.4,198.0,4450.0,male,2008,Adelie
Biscoe,39.0,17.5,186.0,3550.0,female,2008,Adelie
Dream,50.6,19.4,193.0,3800.0,male,2007,Chinstrap
Biscoe,49.9,16.1,213.0,5400.0,male,2009,Gentoo
Biscoe,46.2,14.5,209.0,4800.0,female,2007,Gentoo
Dream,50.9,17.9,196.0,3675.0,female,2009,Chinstrap
Biscoe,40.9,13.7,214.0,4650.0,female,2007,Gentoo
Biscoe,49.6,16.0,225.0,5700.0,male,2008,Gentoo
